Date,Open,High,Low,Close,Adj Close,Volume,reward
2015/4/14,22.38,20.7,22.38,20.14,20.14,308781.0,0.5
2015/4/15,20.14,22.1,20.14,19.06,18.25,71145.4,0.8333333333333334
2015/4/16,19.06,20.97,19.06,20.97,20.97,1722770.0,0.5
2015/4/17,20.97,22.89,20.97,20.21,20.21,19337.4,0.6666666666666666
2015/4/20,20.21,18.19,20.21,18.19,18.19,90.95,1.0
2015/4/21,18.19,20.01,18.19,19.82,16.38,70043.5,1.0
2015/4/22,19.82,21.8,19.82,21.8,17.89,477516.0,0.8333333333333334
2015/4/23,21.8,23.98,21.8,21.65,20.06,23485.1,1.0
2015/4/24,21.65,23.82,21.65,23.82,21.79,33319.9,0.6666666666666666
2015/4/27,23.82,26.2,23.82,23.65,23.65,662.2,0.8333333333333334
2015/4/28,23.65,26.02,23.65,26.02,26.02,20816.0,0.6666666666666666
2015/4/29,26.02,23.5,26.02,23.46,23.46,8914.0,1.0
2015/4/30,23.46,25.81,23.46,25.81,25.81,30997.0,1.0
2015/5/4,25.81,28.39,25.81,28.39,28.39,56780.0,0.6666666666666666
2015/5/5,28.39,30.0,28.39,29.98,29.98,1447800.0,0.3333333333333333
2015/5/6,29.98,32.98,29.98,32.98,32.98,65.96,0.16666666666666666
2015/5/11,32.98,29.68,32.98,29.68,29.68,2968.0,0.16666666666666666
2015/5/12,29.68,26.8,29.68,26.8,26.8,2680.0,0.16666666666666666
2015/5/15,26.8,24.2,26.8,24.2,24.2,4840.0,0.16666666666666666
2015/5/19,24.2,26.62,24.2,22.6,22.6,27124.0,0.3333333333333333
2015/5/20,22.6,24.8,22.6,23.52,20.85,137016.0,0.16666666666666666
2015/5/21,23.52,21.17,23.52,21.17,21.17,254.0,0.16666666666666666
2015/5/22,21.17,23.0,21.17,19.06,19.05,7643.0,0.3333333333333333
2015/5/25,19.06,20.97,19.06,20.97,20.97,26984.7,0.16666666666666666
2015/5/26,20.97,23.07,20.97,18.96,18.9,40832.7,0.16666666666666666
2015/5/27,19.1,21.01,19.1,17.3,17.3,6054.7,0.5
2015/5/28,17.3,19.03,17.3,17.0,17.0,18186.1,0.6666666666666666
2015/5/29,17.0,17.0,17.0,16.56,16.67,19254.6,0.8333333333333334
2015/6/1,16.56,18.22,16.56,18.22,18.22,291.52,0.3333333333333333
2015/6/2,18.22,16.5,18.22,16.5,16.5,280.5,1.0
2015/6/3,16.5,18.0,16.5,17.66,17.66,78762.0,0.8333333333333334
2015/6/4,17.66,18.0,17.66,18.0,18.0,158868.0,0.4166666666666667
2015/6/8,18.0,19.8,18.0,19.8,19.8,2475020.0,0.16666666666666666
2015/6/9,19.8,21.78,19.8,18.0,17.87,2526800.0,0.16666666666666666
2015/6/10,18.0,19.8,18.0,17.71,17.87,1186.6,0.5
2015/6/11,17.71,16.99,17.71,16.99,16.99,1563.08,1.0
2015/6/12,16.99,17.99,16.99,17.87,17.87,161229.0,0.3333333333333333
2015/6/15,17.87,17.48,17.87,17.22,17.22,161229.0,0.6666666666666666
2015/6/16,17.22,18.8,17.22,17.72,17.22,7406.0,0.3333333333333333
2015/6/17,17.72,19.0,17.72,17.47,16.83,8045450.0,0.3333333333333333
2015/6/18,17.47,19.21,17.47,18.17,17.06,8417810.0,0.16666666666666666
2015/6/19,18.17,16.35,18.17,16.35,16.35,33190.5,0.16666666666666666
2015/6/23,16.35,14.72,16.35,14.72,14.72,220.8,0.8333333333333334
2015/6/24,14.72,15.0,14.72,14.91,14.91,3145.75,0.8333333333333334
2015/6/25,14.91,16.4,14.91,15.49,15.49,2178960.0,0.5
2015/6/26,15.49,14.0,15.49,14.0,14.0,350.0,1.0
2015/6/29,14.0,15.3,14.0,15.28,15.28,618106.0,0.8333333333333334
2015/6/30,15.28,16.0,15.28,16.0,15.28,208001.0,0.25
2015/7/1,16.0,15.5,16.0,15.5,15.5,1472500.0,0.4166666666666667
2015/7/2,15.5,17.0,15.5,15.44,15.44,5287140.0,0.6666666666666666
2015/7/3,15.44,15.75,15.44,15.5,15.5,3991880.0,0.5
2015/7/6,15.5,15.5,15.5,15.24,15.24,1309910.0,0.6666666666666666
2015/7/7,15.24,16.0,15.24,16.0,16.0,4800.0,0.3333333333333333
2015/7/8,16.0,15.0,16.0,15.0,15.0,114045.0,1.0
2015/7/9,15.0,15.99,15.0,15.99,15.99,1439.1,0.3333333333333333
2015/7/10,15.99,15.19,15.99,15.19,15.19,1242690.0,1.0
2015/7/13,15.52,17.07,15.52,16.01,16.01,15161.1,0.3333333333333333
2015/7/14,15.19,16.7,15.19,15.52,15.52,155210.0,1.0
2015/7/21,16.01,15.55,16.01,15.53,15.53,77655.0,1.0
2015/7/22,15.53,15.88,15.53,15.84,15.84,71270.0,0.6666666666666666
2015/7/23,15.84,16.0,15.84,15.56,15.56,185200.0,0.6666666666666666
2015/7/24,15.56,16.5,15.56,16.42,16.42,197000.0,0.5
2015/7/27,16.42,16.48,16.42,16.45,16.45,98700.0,0.25
2015/7/28,16.45,16.45,16.45,16.45,16.45,26320.0,0.3333333333333333
2015/7/29,16.45,14.81,16.45,14.81,14.81,2962.0,1.0
2015/7/30,14.81,16.29,14.81,15.14,15.14,776517.0,1.0
2015/7/31,15.14,15.2,15.14,15.2,15.2,152.0,1.0
2015/8/3,15.2,16.3,15.2,16.3,16.3,11784.9,0.8333333333333334
2015/8/4,16.3,16.48,16.3,16.46,16.46,99272.4,0.8333333333333334
2015/8/5,16.46,16.5,16.46,16.5,16.5,200640.0,0.4166666666666667
2015/8/6,16.5,16.49,16.5,16.48,16.48,467389.0,0.6666666666666666
2015/8/12,16.48,16.48,16.48,16.18,16.18,821904.0,0.6666666666666666
2015/8/13,16.18,16.5,16.18,16.5,16.5,82500.0,0.3333333333333333
2015/8/14,16.5,16.5,16.5,16.5,16.5,412500.0,0.4166666666666667
2015/8/17,16.5,16.5,16.5,16.5,16.5,442691.0,0.5
2015/8/18,16.5,16.47,16.5,15.72,15.72,2072170.0,0.8333333333333334
2015/8/19,15.72,16.46,15.72,15.51,15.96,890192.0,1.0
2015/8/20,15.51,17.06,15.51,16.41,16.41,133199.0,0.8333333333333334
2015/8/21,16.41,18.05,16.41,17.48,17.48,5245.0,0.6666666666666666
2015/8/24,17.48,19.2,17.48,18.27,18.27,5463.8,0.3333333333333333
2015/8/25,18.27,20.0,18.27,16.6,16.6,171000.0,0.6666666666666666
2015/8/26,16.6,16.5,16.6,16.08,16.03,1059810.0,0.8333333333333334
2015/8/28,16.08,17.69,16.08,17.69,17.69,3538.0,0.5
2015/8/31,17.69,19.4,17.69,19.4,19.4,7740.6,0.16666666666666666
2015/9/1,19.4,18.0,19.4,18.0,18.0,1800000.0,0.3333333333333333
2015/9/2,18.0,16.2,18.0,16.2,16.2,470140.0,0.8333333333333334
2015/9/7,16.2,16.49,16.2,15.53,15.75,1618290.0,1.0
2015/9/9,15.53,17.08,15.53,16.94,16.94,52504.0,0.8333333333333334
2015/9/10,16.94,18.63,16.94,16.93,16.93,171988.0,0.8333333333333334
2015/9/11,16.93,18.6,16.93,18.53,18.53,18905.0,0.3333333333333333
2015/9/14,18.53,20.36,18.53,18.26,18.26,21205.5,0.3333333333333333
2015/9/15,18.26,19.63,18.26,19.63,19.63,47128.4,0.16666666666666666
2015/9/16,19.63,18.0,19.63,18.0,18.0,1260000.0,0.16666666666666666
2015/9/18,18.0,16.2,18.0,16.2,16.2,76140.0,0.3333333333333333
2015/9/21,16.2,16.2,16.2,15.5,15.5,23250.0,0.75
2015/9/22,15.5,16.07,15.5,15.92,15.6,10879500.0,0.5
2015/9/23,15.92,16.5,15.92,16.5,16.5,495000.0,0.16666666666666666
2015/10/13,16.5,15.98,16.5,15.98,15.98,31.96,0.16666666666666666
2015/10/15,15.98,15.5,15.98,15.5,15.5,155000.0,0.16666666666666666
2015/10/16,15.27,15.27,15.27,15.27,15.27,385646.0,0.3333333333333333
2015/10/19,15.27,15.0,15.27,15.0,15.0,53235.0,0.6666666666666666
2015/10/21,15.0,15.0,15.0,15.0,15.0,24915.0,0.5833333333333334
2015/10/22,15.0,15.0,15.0,15.0,15.0,878125.0,0.5
2015/10/23,15.0,15.0,15.0,15.0,15.0,307455.0,0.5833333333333334
2015/10/26,15.0,15.5,15.0,15.5,15.5,34100.0,0.3333333333333333
2015/10/27,15.0,15.5,15.0,15.0,15.0,34242.2,0.5
2015/10/28,15.0,15.0,15.0,14.99,14.99,109169.0,0.6666666666666666
2015/11/2,14.99,14.98,14.99,14.98,14.98,374500.0,0.8333333333333334
2015/11/3,14.98,16.48,14.98,15.75,15.75,17575.0,0.3333333333333333
2015/11/4,14.96,14.96,14.96,14.96,14.96,149552.0,1.0
2015/11/5,14.96,16.46,14.96,16.46,16.46,13168.0,0.16666666666666666
2015/11/6,16.46,16.0,16.46,15.44,15.44,41845.0,0.16666666666666666
2015/11/9,15.44,15.0,15.44,15.0,15.0,10500.0,0.4166666666666667
2015/11/10,15.0,15.0,15.0,15.0,15.0,4500.0,0.3333333333333333
2015/11/11,15.0,16.5,15.0,15.29,15.29,16897.5,0.16666666666666666
2015/11/12,15.29,16.82,15.29,14.91,14.91,43228.0,0.8333333333333334
2015/11/20,14.91,15.1,14.91,14.69,14.69,11750.0,1.0
2015/11/23,14.95,14.95,14.95,14.95,14.95,29900.0,1.0
